feature,importance
num__PREV_POS_CNT_INSTALMENT_FUTURE_STD_MAX,0.0001958524
num__PREV_CC_AMT_INST_MIN_REGULARITY_MEAN_MAX,0.00019564228
num__PREV_CC_CNT_DRAWINGS_CURRENT_MEAN_MEAN,0.00019512023
num__BUREAU_DAYS_CREDIT_UPDATE_MAX,0.0001950758
num__PREV_AMT_DOWN_PAYMENT_MEAN,0.00019365276
num__PREV_POS_SK_DPD_DEF_SUM_MAX,0.00019135057
num__PREV_CC_AMT_CREDIT_LIMIT_ACTUAL_MAX_MEAN,0.0001874177
num__PREV_INST_DAYS_ENTRY_PAYMENT_STD_MAX,0.00018623134
num__PREV_INST_NUM_INSTALMENT_NUMBER_MAX_MAX,0.0001862249
num__PREV_POS_SK_DPD_DEF_STD_MEAN,0.0001841819
num__PREV_CC_SK_DPD_MEAN_MAX,0.0001828008
num__PREV_DAYS_LAST_DUE_SUM,0.00018244187
num__PREV_INST_AMT_INSTALMENT_SUM_MEAN,0.00018161743
num__PREV_POS_SK_DPD_DEF_SUM_MEAN,0.00018110107
num__PREV_INST_NUM_INSTALMENT_NUMBER_MEAN_MAX,0.00018090913
num__BUREAU_BB_COUNT_MAX,0.0001806484
num__BUREAU_AMT_ANNUITY_MEAN,0.00018063691
num__BUREAU_DAYS_CREDIT_MEAN,0.00018044852
num__PREV_CC_CNT_DRAWINGS_CURRENT_STD_MAX,0.00018020338
num__AMT_INCOME_TOTAL,0.00017862763
num__YEARS_BEGINEXPLUATATION_MODE,0.00017685653
num__PREV_INST_DAYS_INSTALMENT_SUM_MEAN,0.00017510618
num__PREV_INST_DAYS_ENTRY_PAYMENT_MEAN_MEAN,0.00017308489
num__BUREAU_AMT_CREDIT_SUM_MAX,0.0001720463
num__BUREAU_BB_MONTHS_BALANCE_MEAN_MEAN,0.00017202497
num__PREV_CC_CNT_DRAWINGS_ATM_CURRENT_SUM_MAX,0.00017185966
num__BUREAU_AMT_CREDIT_SUM_MEAN,0.00017165681
num__PREV_POS_CNT_INSTALMENT_MEAN_MEAN,0.00017104798
num__PREV_CC_AMT_PAYMENT_CURRENT_STD_MEAN,0.00017059967
num__BUREAU_BB_STATUS_NUNIQUE_MEAN,0.00017009683
num__COMMONAREA_AVG,0.0001697374
num__PREV_CC_CNT_DRAWINGS_ATM_CURRENT_STD_MAX,0.0001685094
num__DAYS_REGISTRATION,0.00016799496
num__PREV_INST_NUM_INSTALMENT_NUMBER_STD_MAX,0.00016781263
num__BUREAU_AMT_CREDIT_SUM_OVERDUE_MEAN,0.00016740778
num__PREV_AMT_ANNUITY_MIN,0.00016612222
num__PREV_CC_AMT_CREDIT_LIMIT_ACTUAL_MEAN_MEAN,0.00016607055
num__PREV_INST_AMT_INSTALMENT_MIN_MEAN,0.00016561893
num__BUREAU_AMT_CREDIT_SUM_DEBT_MAX,0.00016422724
num__PREV_AMT_ANNUITY_MEAN,0.00016299603
num__APARTMENTS_AVG,0.00016274487
num__PREV_DAYS_LAST_DUE_MEAN,0.00016128272
num__PREV_CC_AMT_PAYMENT_TOTAL_CURRENT_MAX_MAX,0.00016046473
num__PREV_DAYS_LAST_DUE_STD,0.00015995034
num__PREV_CC_AMT_RECEIVABLE_PRINCIPAL_SUM_MAX,0.00015937624
num__PREV_INST_DAYS_INSTALMENT_MEAN_MEAN,0.00015907378
num__PREV_POS_SK_DPD_SUM_MEAN,0.0001571542
num__PREV_AMT_APPLICATION_MIN,0.00015712329
num__PREV_CC_AMT_INST_MIN_REGULARITY_MAX_MAX,0.00015585482
num__PREV_INST_DAYS_ENTRY_PAYMENT_SUM_MAX,0.00015573653
num__PREV_CC_AMT_RECIVABLE_STD_MEAN,0.00015565538
num__PREV_INST_COUNT_MEAN,0.00015443517
num__PREV_AMT_GOODS_PRICE_MAX,0.0001528102
num__BUREAU_BB_MONTHS_BALANCE_SUM_MAX,0.00015147867
num__BASEMENTAREA_MODE,0.00014964855
num__PREV_CC_SK_DPD_DEF_STD_MAX,0.0001483929
