model,threshold,TN,FP,FN,TP,recall,precision,f1,total_cost
LogisticRegression,0.9500000000000001,225970,178,19642,218,0.010976837865055388,0.5505050505050505,0.021524486571879938,196598
LogisticRegression,0.9600000000000001,226046,102,19746,114,0.005740181268882176,0.5277777777777778,0.011356843992827256,197562
LogisticRegression,0.97,226100,48,19810,50,0.0025176233635448137,0.5102040816326531,0.005010522096402445,198148
LogisticRegression,0.98,226122,26,19839,21,0.0010574018126888218,0.44680851063829785,0.0021098106193801177,198416
LogisticRegression,0.99,226131,17,19854,6,0.00030211480362537764,0.2608695652173913,0.0006035306543278177,198557
XGBoost,0.01,5489,220659,51,19809,0.9974320241691843,0.0823768651130296,0.15218493592698443,221169
XGBoost,0.02,28582,197566,353,19507,0.9822255790533736,0.08986377854454493,0.1646625839372312,201096
XGBoost,0.03,55347,170801,867,18993,0.956344410876133,0.10007165663824989,0.18118423688553523,179471
XGBoost,0.04,79321,146827,1548,18312,0.9220543806646526,0.11088840310284064,0.19796863766831171,162307
XGBoost,0.05,99801,126347,2334,17526,0.8824773413897281,0.12181576807323126,0.2140802403913689,149687
XGBoost,0.060000000000000005,117040,109108,3176,16684,0.8400805639476334,0.13263164589163062,0.22909400488836404,140868
XGBoost,0.06999999999999999,131740,94408,3996,15864,0.7987915407854985,0.1438624492164829,0.2438139735038269,134368
XGBoost,0.08,144090,82058,4876,14984,0.7544813695871098,0.15440737000474022,0.25635147388410806,130818
XGBoost,0.09,154703,71445,5675,14185,0.7142497482376636,0.1656545603176457,0.26893544411792586,128195
XGBoost,0.09999999999999999,163628,62520,6478,13382,0.6738167170191339,0.17630628968933626,0.2794845554604123,127300
