feature,importance
num__PREV_POS_MONTHS_BALANCE_MEAN_MEAN,0.038308859468969524
cat__WALLSMATERIAL_MODE_Panel,0.03824867600770137
cat__NAME_FAMILY_STATUS_Widow,0.03816282005639023
num__DEF_60_CNT_SOCIAL_CIRCLE,0.037981667521727595
num__PREV_SELLERPLACE_AREA_MAX,0.03791934563254596
num__PREV_INST_NUM_INSTALMENT_NUMBER_SUM_MAX,0.03785195394816099
num__PREV_CC_CNT_DRAWINGS_POS_CURRENT_SUM_MAX,0.03782830383319925
num__REG_REGION_NOT_LIVE_REGION,0.03773047641571992
num__PREV_CNT_PAYMENT_MAX,0.03758519713269736
num__PREV_POS_CNT_INSTALMENT_MIN_MAX,0.0375633566693289
num__PREV_POS_SK_DPD_DEF_MEAN_MEAN,0.0373201360741821
num__PREV_CC_AMT_RECEIVABLE_PRINCIPAL_MIN_MAX,0.03728743864998354
num__DEF_30_CNT_SOCIAL_CIRCLE,0.03722465944107871
num__LANDAREA_MEDI,0.03671468667296957
num__PREV_POS_CNT_INSTALMENT_FUTURE_MEAN_MEAN,0.0366739413375683
num__HAS_PREVIOUS_APPLICATION,0.03654256287892716
num__NONLIVINGAREA_AVG,0.036443072021083496
num__PREV_POS_MONTHS_BALANCE_MIN_MAX,0.03642062158284437
num__LIVINGAREA_MODE,0.03637916878281029
num__BUREAU_BB_MONTHS_BALANCE_MEAN_MAX,0.03596046835584264
num__PREV_POS_MONTHS_BALANCE_MAX_MEAN,0.035958219623103464
num__PREV_CC_AMT_DRAWINGS_ATM_CURRENT_STD_MEAN,0.03556662458545429
num__PREV_DAYS_DECISION_MEAN,0.03536643999257076
num__PREV_NAME_CONTRACT_TYPE_NUNIQUE,0.035352400869807704
num__PREV_POS_COUNT_MEAN,0.0352204325635711
num__PREV_CC_CNT_DRAWINGS_POS_CURRENT_MEAN_MAX,0.03518478402530499
num__PREV_CC_NAME_CONTRACT_STATUS_NUNIQUE_MAX,0.03504578596877726
num__PREV_CC_AMT_PAYMENT_TOTAL_CURRENT_MIN_MEAN,0.034976053074724865
num__BUREAU_AMT_ANNUITY_STD,0.034966743337077735
